© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	IPA-Sarah
Analysis	Newborns-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:37:18 PST 2017
Analysis ID	15776117

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of D-erythro-C16-ceramide	2.67E-02	 	 	 	 	RUNX1	1	
Amino Acid Metabolism, Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	secretion	Secretion of GABA	2.67E-02	 	 	 	 	PTPRN2	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of pro-B lymphocytes	2.67E-02	 	 	 	 	EBF1	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	acute leukemia	Acute leukemia	2.67E-02	 	 	 	 	ALPK1,TAP2,EBF1,RUNX1,ACSM3,RPS23,STEAP4	7	
Cardiovascular System Development and Function, Organismal Development	development	Development of artery	2.68E-02	 	 	 	 	ADAMTS6,RUNX1	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of macrophages	2.68E-02	 	 	 	 	RUNX1,CASP8	2	
Cellular Development	commitment	Commitment of cells	2.80E-02	 	 	 	 	EBF1,RUNX1	2	
Inflammatory Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	blepharitis	Blepharitis	2.83E-02	 	 	 	 	H2AFY2	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	expansion	Expansion of Th17 cells	2.83E-02	 	 	 	 	TNFSF13B	1	
Cancer, Cellular Development, Organismal Injury and Abnormalities	immortalization	Immortalization of hematopoietic progenitor cells	2.83E-02	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of B lymphocytes	2.96E-02	 	 	 	 	TNFSF13B,EBF1	2	
Cellular Growth and Proliferation	growth	Arrest in growth of hematopoietic cell lines	2.98E-02	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation	proliferation	Arrest in proliferation of leukemia cell lines	2.98E-02	 	 	 	 	RUNX1	1	
DNA Replication, Recombination, and Repair, Gene Expression	bending	Bending of DNA	2.98E-02	 	 	 	 	SUB1	1	
Cardiovascular Disease, Connective Tissue Disorders, Developmental Disorder, Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	congenital thrombocytopenia	Congenital thrombocytopenia	2.98E-02	 	 	 	 	RUNX1	1	
Cell-mediated Immune Response, Cellular Function and Maintenance, Hematological System Development and Function	homeostasis	T cell homeostasis	3.08E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Organismal Functions	energy expenditure	Abnormal energy expenditure	3.14E-02	 	 	 	 	PRKAR2B	1	
Cell Morphology, Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease	abnormal morphology	Abnormal morphology of spermatogonia	3.14E-02	 	 	 	 	JMJD1C	1	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of white adipose tissue	3.14E-02	 	 	 	 	STEAP4	1	
Cell Cycle, Gene Expression	binding	Binding of p53 consensus binding site	3.14E-02	 	 	 	 	SUB1	1	
Cell Morphology, Cellular Movement	cell spreading	Cell spreading of leukemia cell lines	3.14E-02	 	 	 	 	RUNX1	1	
Cellular Growth and Proliferation	colony formation	Colony formation of ovarian cancer cell lines	3.14E-02	 	 	 	 	HIST1H1D	1	
Cardiovascular System Development and Function, Cell Morphology, Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Tissue Morphology	electrical resistance	Electrical resistance of endothelial cells	3.14E-02	 	 	 	 	ACTN1	1	
Organismal Injury and Abnormalities, Tissue Morphology	loss	Loss of epithelial tissue	3.14E-02	 	 	 	 	CASP8	1	
Cell Morphology, Embryonic Development	modification	Modification of embryonic cell lines	3.14E-02	 	 	 	 	CASP8	1	
Drug Metabolism, Endocrine System Development and Function, Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	secretion	Secretion of progesterone	3.14E-02	 	 	 	 	RUNX1	1	
Immunological Disease	primary immunodeficiency disorder	Primary immunodeficiency disorder	3.16E-02	 	 	 	 	TAP2,CASP8	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	expansion	Expansion of T lymphocytes	3.19E-02	 	 	 	 	TNFSF13B,CASP8	2	
Cancer, Organismal Injury and Abnormalities	pelvic cancer	Pelvic cancer	3.21E-02	 	 	 	 	DHRS7B,ALPK1,TNFSF13B,MXRA8,CWF19L2,CXXC1,ACTN1,RDX,HIST1H1D,ATP13A3,C6orf15,TEX26,EBF1,RUNX1,ACSM3,ZFP57,PTPRN2,STEAP4,CASP8,JMJD1C	20	
Cellular Movement	cell movement	Cell movement of leukemia cell lines	3.26E-02	 	 	 	 	RUNX1,ACTN1	2	
Cell Death and Survival	cell death	Cell death of endometrial cancer cell lines	3.29E-02	 	 	 	 	CASP8	1	
Cellular Compromise, DNA Replication, Recombination, and Repair	instability	Instability of genomes	3.29E-02	 	 	 	 	RUNX1	1	
Cellular Movement	migration	Migration of neuroblastoma cell lines	3.29E-02	 	 	 	 	CASP8	1	
Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	pulmonary alveolar proteinosis	Pulmonary alveolar proteinosis	3.29E-02	 	 	 	 	RUNX1	1	
Cell Death and Survival	apoptosis	Apoptosis of lymphocytes	3.39E-02	 	 	 	 	TNFSF13B,RUNX1,CASP8	3	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell viability	Cell viability of chronic lymphocytic leukemia cells	3.45E-02	 	 	 	 	TNFSF13B	1	
Cancer, Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	colitis-associated cancer	Colitis-associated cancer	3.45E-02	 	 	 	 	NLRP6	1	
Hair and Skin Development and Function, Organ Morphology	color	Color of fur	3.45E-02	 	 	 	 	H2AFY2	1	
Organ Development	function	Function of skin	3.45E-02	 	 	 	 	CASP8	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	leukopoiesis	Leukopoiesis	3.50E-02	 	 	 	 	DHRS7B,TNFSF13B,EBF1,RUNX1,CASP8	5	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of T lymphocytes	3.59E-02	 	 	 	 	RUNX1,DUSP22,CASP8	3	
Cellular Development	differentiation	Differentiation of leukemia cell lines	3.60E-02	 	 	 	 	PRKAR2B,RUNX1	2	
Ophthalmic Disease, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of eyelid aperture	3.60E-02	 	 	 	 	H2AFY2	1	
Cell Death and Survival, Organismal Injury and Abnormalities, Renal and Urological Disease	apoptosis	Apoptosis of mesangial cells	3.60E-02	 	 	 	 	CASP8	1	
Cell Death and Survival, Developmental Disorder, Embryonic Development	necrosis	Necrosis of embryonic tissue	3.60E-02	 	 	 	 	RUNX1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of lipid	3.63E-02	 	 	 	 	PRKAR2B,RUNX1,PTPRN2,STEAP4,CASP8	5	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of CD4+ T-lymphocytes	3.70E-02	 	 	 	 	RUNX1,CASP8	2	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hair and Skin Development and Function, Organ Development, Tissue Development	proliferation	Proliferation of keratinocytes	3.74E-02	 	 	 	 	RUNX1,STEAP4	2	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of blood island	3.75E-02	 	 	 	 	CASP8	1	
Behavior	addiction behavior	Addiction behavior	3.75E-02	 	 	 	 	PRKAR2B	1	
Cell Death and Survival	apoptosis	Apoptosis of monocytes	3.75E-02	 	 	 	 	CASP8	1	
Cell Death and Survival	necrosis	Necrosis of microglia	3.75E-02	 	 	 	 	CASP8	1	
Tissue Morphology	quantity	Quantity of hematopoietic cell lines	3.75E-02	 	 	 	 	RUNX1	1	
Molecular Transport	transport	Transport of peptide	3.75E-02	 	 	 	 	TAP2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	type M2 acute myeloid leukemia	Type M2 acute myeloid leukemia	3.75E-02	 	 	 	 	RUNX1	1	
Cancer, Organismal Injury and Abnormalities	cancer	Cancer	3.76E-02	 	 	 	 	ALPK1,PRKAR2B,MXRA8,CXXC1,WDR20,GPATCH2,HIST1H1D,ATP13A3,C6orf15,ADAMTS6,TEX26,RUNX1,ACSM3,TTI2,ZFP57,PTPRN2,STEAP4,JMJD1C,DHRS7B,SPP2,ATXN7L3B,TNFSF13B,CWF19L2,CLNS1A,ACTN1,DUSP22,RDX,TAP2,EBF1,RPS23,NLRP6,CASP8	32	
Endocrine System Disorders, Gastrointestinal Disease, Metabolic Disease, Organismal Injury and Abnormalities	diabetes mellitus	Diabetes mellitus	3.77E-02	 	 	 	 	TNFSF13B,C6orf15,ADAMTS6,TAP2,ZFP57,CASP8	6	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B lymphocytes	3.81E-02	 	 	 	 	TNFSF13B,EBF1,CASP8	3	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of enlarged spleen	3.84E-02	 	 	 	 	TNFSF13B,CASP8	2	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of ectoplacental cone	3.91E-02	 	 	 	 	CXXC1	1	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of enlarged thymus gland	3.91E-02	 	 	 	 	CASP8	1	
Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease, Tissue Morphology	abnormal morphology	Abnormal morphology of seminiferous epithelium	3.91E-02	 	 	 	 	JMJD1C	1	
Cell Death and Survival	apoptosis	Apoptosis of mesothelioma cell lines	3.91E-02	 	 	 	 	CASP8	1	
Cell Cycle, Hematological System Development and Function	cell division	Cell division of T lymphocytes	3.91E-02	 	 	 	 	TNFSF13B	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	formation	Formation of microvilli	3.91E-02	 	 	 	 	RDX	1	
Cancer, Immunological Disease, Organismal Injury and Abnormalities	hyperplasia	Hyperplasia of lymph node	3.91E-02	 	 	 	 	CASP8	1	
Cellular Development, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development	maturation	Maturation of thymocytes	3.91E-02	 	 	 	 	RUNX1	1	
Cell Morphology, Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	size	Size of focal adhesions	3.91E-02	 	 	 	 	ACTN1	1	
Cell Death and Survival, Nervous System Development and Function, Tissue Morphology	loss	Loss of neurons	3.95E-02	 	 	 	 	RUNX1,CASP8	2	
Lipid Metabolism, Small Molecule Biochemistry	metabolism	Fatty acid metabolism	3.97E-02	 	 	 	 	PRKAR2B,RUNX1,ACSM3,CASP8	4	
Cell Death and Survival	cell viability	Cell viability of tumor cell lines	4.06E-02	 	 	 	 	TNFSF13B,PTPRN2,DUSP22,CASP8,JMJD1C	5	
Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of striatum	4.06E-02	 	 	 	 	EBF1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	abnormal quantity	Abnormal quantity of cholesterol	4.06E-02	 	 	 	 	STEAP4	1	
Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	intraventricular hemorrhage	Intraventricular hemorrhage	4.06E-02	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Nervous System Development and Function	proliferation	Proliferation of microglia	4.06E-02	 	 	 	 	RUNX1	1	
Cell Death and Survival	apoptosis	Apoptosis of gonadal cells	4.21E-02	 	 	 	 	CASP8,JMJD1C	2	
Cell Signaling	I-kappaB kinase/NF-kappaB cascade	I-kappaB kinase/NF-kappaB cascade	4.21E-02	 	 	 	 	NLRP6,CASP8	2	
Cellular Development, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of myofibroblasts	4.21E-02	 	 	 	 	RUNX1	1	
Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of trabecular bone	4.21E-02	 	 	 	 	EBF1	1	
Gastrointestinal Disease, Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of salivary gland	4.21E-02	 	 	 	 	TNFSF13B	1	
Cancer, Organismal Injury and Abnormalities	genitourinary carcinoma	Genitourinary carcinoma	4.28E-02	 	 	 	 	DHRS7B,ALPK1,TNFSF13B,CWF19L2,CXXC1,ACTN1,RDX,HIST1H1D,ATP13A3,C6orf15,TEX26,EBF1,RUNX1,ACSM3,ZFP57,PTPRN2,STEAP4,CASP8,JMJD1C	19	
Cellular Development, Cellular Growth and Proliferation	proliferation	Proliferation of blood cells	4.36E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8,JMJD1C	5	
Cancer, Cell Death and Survival, Neurological Disease, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of glioma cells	4.37E-02	 	 	 	 	CASP8	1	
Cellular Growth and Proliferation, Hair and Skin Development and Function	colony formation	Colony formation of epithelial cell lines	4.37E-02	 	 	 	 	RUNX1	1	
Cell Morphology	permeabilization	Permeabilization of mitochondrial membrane	4.37E-02	 	 	 	 	CASP8	1	
Carbohydrate Metabolism, Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of phosphatidylinositol 4,5-diphosphate	4.37E-02	 	 	 	 	PTPRN2	1	
Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of lymphoid tissue	4.38E-02	 	 	 	 	TNFSF13B,RUNX1,CASP8	3	
Cell Death and Survival	apoptosis	Apoptosis of leukocyte cell lines	4.39E-02	 	 	 	 	RUNX1,CASP8	2	
Tissue Morphology	abnormal morphology	Abnormal morphology of membrane tissue	4.43E-02	 	 	 	 	HIST1H1D,NLRP6	2	
Organismal Injury and Abnormalities	formation	Formation of ulcer	4.52E-02	 	 	 	 	NLRP6	1	
Cell Death and Survival	killing	Killing of leukemia cell lines	4.52E-02	 	 	 	 	CASP8	1	
Infectious Diseases, Inflammatory Disease	systemic inflammatory response syndrome	Systemic inflammatory response syndrome	4.52E-02	 	 	 	 	RUNX1	1	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	genital tract cancer	Genital tract cancer	4.59E-02	 	 	 	 	DHRS7B,ALPK1,TNFSF13B,MXRA8,CWF19L2,CXXC1,ACTN1,RDX,HIST1H1D,C6orf15,TEX26,EBF1,RUNX1,ACSM3,ZFP57,PTPRN2,STEAP4,CASP8,JMJD1C	19	
Cell Death and Survival	apoptosis	Apoptosis of prostate cancer cell lines	4.66E-02	 	 	 	 	PRKAR2B,CASP8	2	
Gene Expression	repression	Repression of RNA	4.66E-02	 	 	 	 	SUB1,RUNX1	2	
Cell Death and Survival	apoptosis	Apoptosis of macrophage cancer cell lines	4.67E-02	 	 	 	 	CASP8	1	
Cell Death and Survival	cell death	Cell death of enterocytes	4.67E-02	 	 	 	 	CASP8	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	early precursor T-cell acute lymphoblastic leukemia	Early precursor T-cell acute lymphoblastic leukemia	4.67E-02	 	 	 	 	RUNX1	1	
Digestive System Development and Function, Organ Development	function	Function of intestine	4.67E-02	 	 	 	 	NLRP6	1	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	leukemogenesis	Leukemogenesis	4.67E-02	 	 	 	 	RUNX1	1	
Lipid Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of ether lipid	4.67E-02	 	 	 	 	DHRS7B	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of T lymphocytes	4.71E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1	3	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	acute myeloid leukemia	Acute myeloid leukemia	4.75E-02	 	 	 	 	ALPK1,TAP2,RUNX1,ACSM3,RPS23,STEAP4	6	
Cellular Development, Cellular Growth and Proliferation	cell proliferation	Cell proliferation of lymphoma cell lines	4.78E-02	 	 	 	 	RUNX1,CASP8	2	
Cell Death and Survival	apoptosis	Apoptosis of T-cell hybrid cells	4.97E-02	 	 	 	 	RUNX1	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell death	Cell death of neuroblastoma cells	4.97E-02	 	 	 	 	CASP8	1	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	luminal breast cancer	Luminal breast carcinoma	4.97E-02	 	 	 	 	RUNX1	1	
Cell Morphology	morphology	Morphology of colorectal cancer cell lines	4.97E-02	 	 	 	 	CASP8	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Development	proliferation	Proliferation of peripheral blood lymphocytes	4.97E-02	 	 	 	 	TNFSF13B	1	

Tox Functions for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Increased Levels of Bilirubin	excretion	Increased excretion of bilirubin	3.18E-03	 	 	 	 	RDX	1	
Liver Steatosis	hepatic steatosis	Hepatic steatosis	2.40E-02	 	 	 	 	PRKAR2B,EBF1,STEAP4	3	
Glomerular Injury, Renal Necrosis/Cell Death	apoptosis	Apoptosis of mesangial cells	3.60E-02	 	 	 	 	CASP8	1	
Cardiac Dysfunction	systolic dysfunction	Systolic dysfunction	6.18E-02	 	 	 	 	CASP8	1	
Liver Cholestasis	progressive familial intrahepatic cholestasis type 1	Progressive familial intrahepatic cholestasis type 1	8.98E-02	 	 	 	 	TAP2	1	
Liver Damage	injury	Injury of liver	9.47E-02	 	 	 	 	RDX,CASP8	2	
Liver Regeneration	regeneration	Regeneration of liver	1.25E-01	 	 	 	 	CASP8	1	
Liver Hyperplasia/Hyperproliferation	liver carcinoma	Liver carcinoma	1.66E-01	 	 	 	 	DHRS7B,ATXN7L3B,ALPK1,PRKAR2B,CWF19L2,ACTN1,GPATCH2,ADAMTS6,ACSM3,PTPRN2,STEAP4,CASP8,JMJD1C	13	
Liver Necrosis/Cell Death	apoptosis	Apoptosis of hepatocytes	2.21E-01	 	 	 	 	CASP8	1	
Hepatocellular Carcinoma, Liver Hyperplasia/Hyperproliferation	hepatocellular carcinoma	Hepatocellular carcinoma	2.42E-01	 	 	 	 	ACSM3,STEAP4,CASP8	3	
Renal Inflammation, Renal Nephritis	lupus nephritis	Lupus nephritis	2.45E-01	 	 	 	 	TNFSF13B	1	
Cardiac Necrosis/Cell Death	apoptosis	Apoptosis of cardiomyocytes	3.04E-01	 	 	 	 	CASP8	1	
Renal Necrosis/Cell Death	apoptosis	Apoptosis of kidney cell lines	3.81E-01	 	 	 	 	CASP8	1	
Cardiac Dilation	dilated cardiomyopathy	Dilated cardiomyopathy	3.81E-01	 	 	 	 	CASP8	1	
Heart Failure	failure	Failure of heart	4.32E-01	 	 	 	 	CASP8	1	

Regulator Effects for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM

Networks for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
ID	Analysis	Molecules in Network	Score	Focus Molecules	Top Diseases and Functions	
1	Newborns-Combined - 2017-12-07 12:37 PM	ACTN1,ALK3-BMPR2,ANGPTL1,ATP8A2,Akt,CASP8,CYP4Z1,Cgm4/Psg16,EBF1,ERK,ERK1/2,FCRLA,GAPT,GFRA4,Ggta1,IgG,Igl,Igm,IkB-NfkB,Interferon alpha,Lh,NFkB (complex),P38 MAPK,PI3K (complex),PRKAR2B,PTPRN2,Prl4a1,RDX,RPS23,RUNX1,TAP2,TCR,TNFSF13B,WDR20,Ybx1-ps3	24	11	Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function	
2	Newborns-Combined - 2017-12-07 12:37 PM	ACSM3,ADGRG6,ATP13A3,Anti-inflammatory Cytokine,CHI3L2,CLNS1A,CWF19L2,DFF,FETUB,FGF2,GMPR,Gsk3,H2AFY2,HIST1H1D,HISTONE,JMJD1C,KHDC3L,KLF4,LILRA2,LILRA4,Mbl1,Msx3,OLFML2A,OSM,PLEK2,POU5F1,SLC5A2,STEAP4,Sprr2b,Sprr2g,TGFB1,TNF,ZFP57,ZNF330,ZNF467	19	9	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Connective Tissue Development and Function	
3	Newborns-Combined - 2017-12-07 12:37 PM	ADAM11,ADAM18,ADAM20,ADAM29,ADAMTS6,ADAMTS8,ALPK1,ATXN7L3B,Adam24,Adam26a/Adam26b,CMTM8,CXXC1,DHRS7B,DNAH7,DNAJC27,DNAJC4,DUSP22,Dcc dimer,EGFR,GPATCH2,Gma3,HSP90AA1,HSPA12B,KCTD8,KIRREL3,MAPK1,MMP21,Metalloprotease,RWDD1,RXFP3,SCD5,SUB1,TM4SF5,TTI2,XPO1	19	9	Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	
4	Newborns-Combined - 2017-12-07 12:37 PM	ESR1,LOC391322	3	1	Cancer, Cell Death and Survival, Cell Morphology	
5	Newborns-Combined - 2017-12-07 12:37 PM	C6orf15,MGEA5	3	1	Cardiovascular System Development and Function, Carbohydrate Metabolism, Post-Translational Modification	
6	Newborns-Combined - 2017-12-07 12:37 PM	FAM20C,LHX1,SPP2	2	1	Cell Death and Survival, Cellular Movement, Nervous System Development and Function	
7	Newborns-Combined - 2017-12-07 12:37 PM	EGR3,MXRA8,TWIST1	2	1	Cancer, Cell Death and Survival, Cell-To-Cell Signaling and Interaction	
8	Newborns-Combined - 2017-12-07 12:37 PM	IL22RA2,NALP,NLR,NLRP6	2	1	Organ Morphology, Tissue Development, Tissue Morphology	

My Lists for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
My Lists	 -log(p-value)	Ratio	Molecules 

Tox Lists for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Ingenuity Toxicity Lists	 -log(p-value)	Ratio	Molecules 
Reversible Glomerulonephritis Biomarker Panel (Rat)	3.07E00	7.41E-02	TAP2,ACSM3
Increases Cardiac Dilation	1.22E00	2.56E-02	CASP8
Pro-Apoptosis	1.19E00	2.38E-02	CASP8
NF-κB Signaling	1.16E00	7.41E-03	TNFSF13B,CASP8
Increases Cardiac Dysfunction	1.14E00	2.13E-02	CASP8
Increases Renal Nephritis	1.05E00	1.72E-02	TNFSF13B
PXR/RXR Activation	1.01E00	1.54E-02	PRKAR2B
Increases Glomerular Injury	9.06E-01	1.2E-02	CASP8
Mechanism of Gene Regulation by Peroxisome Proliferators via PPARα	8.52E-01	1.05E-02	PRKAR2B
Increases Liver Steatosis	8.31E-01	1E-02	PRKAR2B
Decreases Transmembrane Potential of Mitochondria and Mitochondrial Membrane	7.42E-01	8E-03	CASP8
Increases Liver Damage	7.12E-01	7.41E-03	CASP8
Hepatic Cholestasis	6.39E-01	6.13E-03	PRKAR2B
Mitochondrial Dysfunction	6.1E-01	5.68E-03	CASP8
PPARα/RXRα Activation	5.95E-01	5.46E-03	PRKAR2B
RAR Activation	5.81E-01	5.26E-03	PRKAR2B
Cardiac Necrosis/Cell Death	4.32E-01	3.47E-03	CASP8
Liver Necrosis/Cell Death	4.13E-01	3.29E-03	CASP8
Renal Necrosis/Cell Death	2.32E-01	1.83E-03	CASP8

My Pathways for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
My Pathways	 -log(p-value)	Ratio	Molecules 

Analysis Ready Molecules for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
ID	Symbol
ACSM3	ACSM3
ACTN1	ACTN1
ADAMTS6	ADAMTS6
ALPK1	ALPK1
ATP13A3	ATP13A3
ATXN7L3B	ATXN7L3B
C6orf15	C6orf15
CASP8	CASP8
CLNS1A	CLNS1A
CWF19L2	CWF19L2
CXXC1	CXXC1
DHRS7B	DHRS7B
DUSP22	DUSP22
EBF1	EBF1
GPATCH2	GPATCH2
H2AFY2	H2AFY2
HIST1H1D	HIST1H1D
JMJD1C	JMJD1C
LINC01135	LINC01135
LOC100506844	LOC100506844
LOC105274304	LOC105274304
LOC391322	LOC391322
AK091866	LUCAT1
MXRA8	MXRA8
NLRP6	NLRP6
PCAT1	PCAT1
PRKAR2B	PRKAR2B
PTPRN2	PTPRN2
RDX	RDX
RPS23	RPS23
RUNX1	RUNX1
SNORD66	SNORD66
SPP2	SPP2
STEAP4	STEAP4
SUB1	SUB1
TAP2	TAP2
TEX26	TEX26
TNFSF13B	TNFSF13B
TTI2	TTI2
WDR20	WDR20
ZFP57	ZFP57

