© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Organismal Injury and Abnormalities	cancer	Cancer	2.75E-04	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,DAP,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,GPR176,KAT6B,BANK1,RNASE2,RBL2,BNIP3L,EHF,ANKRD7,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,RFPL4B,CATSPER4,PRG3,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,PGAM2,FAM216B,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC,RNF122,SLC38A8	138	
Cell Cycle, Hair and Skin Development and Function	G1 phase	Arrest in G1 phase of keratinocytes	2.91E-04	 	 	 	 	LPIN1,PRKCH	2	
Carbohydrate Metabolism, Small Molecule Biochemistry	modification	Modification of glucose-6-phosphate	2.91E-04	 	 	 	 	HK2,GPI	2	
Cancer, Cellular Growth and Proliferation, Organismal Functions, Organismal Injury and Abnormalities, Tumor Morphology	inhibition	Inhibition of tumor cells	3.03E-04	 	 	 	 	DDIT4,IL4,HK2	3	
Gene Expression	transcription	Transcription of DNA	3.18E-04	 	 	 	 	ZFPM1,YWHAQ,DMAP1,FOXP1,EHF,MITF,IKZF3,POLR2B,IRF6,LPIN1,DICER1,MED27,IRF2BPL,ASCC1,ARID3A,PHF19,NCK1,TLE4,PPP2CA,DAP,IL4,ENG,NFIA,PSMC3IP,CITED2,NR0B2,IGF1R,SMARCD3,FOXK2,KAT6B	30	
Cell Morphology, Cellular Function and Maintenance	autophagy	Autophagy of cells	3.42E-04	 	 	 	 	DAPK2,KIF5C,YWHAQ,RPTOR,DICER1,BNIP3L,DDIT4,ENG,MITF,CATSPER4	10	
Gene Expression	expression	Expression of RNA	3.48E-04	 	 	 	 	SEC16B,ZFPM1,YWHAQ,DMAP1,FOXP1,RBL2,EHF,MITF,IKZF3,POLR2B,IRF6,NDFIP2,LPIN1,DICER1,ATP2C1,MED27,IRF2BPL,PRKCZ,ASCC1,ARID3A,PHF19,NCK1,TLE4,PPP2CA,TANK,DAP,IL4,ENG,NFIA,PSMC3IP,PRG3,CITED2,NR0B2,IGF1R,RPS6KA2,SMARCD3,FOXK2,KAT6B,BANK1	39	
Endocrine System Disorders, Organismal Injury and Abnormalities	goiter	Goiter	3.55E-04	 	 	 	 	IGF1R,KRT19,DICER1	3	
Gene Expression	transcription	Transcription of RNA	3.73E-04	 	 	 	 	ZFPM1,YWHAQ,DMAP1,FOXP1,RBL2,EHF,MITF,IKZF3,POLR2B,IRF6,LPIN1,DICER1,ATP2C1,MED27,IRF2BPL,PRKCZ,ASCC1,ARID3A,PHF19,NCK1,TLE4,PPP2CA,TANK,DAP,IL4,ENG,NFIA,PSMC3IP,CITED2,NR0B2,IGF1R,SMARCD3,FOXK2,KAT6B	34	
Gene Expression	transcription	Transcription	3.84E-04	 	 	 	 	SEC16B,ZFPM1,YWHAQ,DMAP1,FOXP1,RBL2,EHF,MITF,IKZF3,POLR2B,IRF6,NDFIP2,LPIN1,DICER1,ATP2C1,MED27,IRF2BPL,PRKCZ,ASCC1,ARID3A,PHF19,NCK1,TLE4,PPP2CA,TANK,DAP,IL4,ENG,NFIA,PSMC3IP,CITED2,NR0B2,IGF1R,RPS6KA2,SMARCD3,FOXK2,KAT6B	37	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B-1 lymphocytes	3.92E-04	 	 	 	 	RPTOR,IL4,IL5RA,ARID3A,BANK1	5	
Cellular Movement	invasion	Invasion of cells	3.95E-04	 	 	 	 	YWHAQ,ANGPT2,FOXP1,RHOBTB2,ENG,MITF,KCNH2,PLGRKT,IRF6,IGF1R,RALB,LRIG1,KRT19,ADCY3,RPTOR,DICER1,TFF2,CTSB,PRKCZ,ST3GAL1,GPI	21	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of actin cytoskeleton	4.20E-04	 	 	 	 	RALB,LPIN1,TNIK,CSRP1,ATP2C1,ENG,EVL,PRKCZ,NCK1,GPI	10	
Cellular Growth and Proliferation	colony formation	Colony formation of cells	4.41E-04	 	 	 	 	DMAP1,RHOBTB2,RBL2,BNIP3L,IL4,EHF,MITF,IGF1R,KRT19,DICER1,CTSB,SUGT1,PRKCZ,PPP2CA	14	
Cell Morphology	conversion	Conversion of placental cells	4.83E-04	 	 	 	 	SMARCD3,MITF	2	
Cancer, Cellular Growth and Proliferation, Organismal Functions, Organismal Injury and Abnormalities, Tumor Morphology	inhibition	Inhibition of mammary tumor cells	4.83E-04	 	 	 	 	IL4,HK2	2	
Cell Morphology, Cellular Assembly and Organization, Nervous System Development and Function	orientation	Orientation of axons	4.83E-04	 	 	 	 	NFIA,PRKCZ	2	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of naive B cells	4.83E-04	 	 	 	 	IL4,IKZF3	2	
Cardiovascular System Development and Function, Organ Development	stroke volume index	Stroke volume index	4.83E-04	 	 	 	 	ANGPT2,ENG	2	
Cancer	transformation	Transformation of prostate cancer cell lines	4.83E-04	 	 	 	 	IGF1R,DDIT4	2	
Cancer, Organismal Injury and Abnormalities	abdominal neoplasm	Abdominal neoplasm	4.96E-04	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,PPT2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RNASE2,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,CATSPER4,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,GID4,CTSB,MCC,FOXK2,IRGC	128	
Cell Death and Survival	cell death	Cell death	5.06E-04	 	 	 	 	DAPK2,RBL2,BNIP3L,EHF,MITF,RALB,LRIG1,DICER1,ATP2C1,EMG1,PRKCH,NCK1,TLE4,GPI,DAP,DDIT4,ENG,PRG3,CITED2,IGF1R,RPTOR,RPS6KA2,CS,PPT2,YWHAQ,SIGLEC8,FOXP1,RHOBTB2,NAPA,IKZF3,MS4A2,KCNH2,KRT19,STEAP3,STX1B,EPX,PRKCZ,HK2,ST3GAL1,TLDC2,PMP22,PPP2CA,PRG2,ITIH4,TANK,PTGDR2,ANGPT2,IL4,IL5RA,NR0B2,NCSTN,CTSB,FOXK2,RNASE2	54	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	morphology	Morphology of lymph follicle	5.07E-04	 	 	 	 	IL4,IKZF3,PRKCZ,TLE4,BANK1,PPT2	6	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	colony formation	Colony formation of tumor cells	5.24E-04	 	 	 	 	DICER1,RHOBTB2,CTSB,SUGT1	4	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	release	Release of leukotriene C4	5.43E-04	 	 	 	 	PRG2,IL4,PRG3	3	
Organismal Survival	morbidity or mortality	Morbidity or mortality	5.77E-04	 	 	 	 	ZFPM1,DMAP1,RBL2,BNIP3L,VPS52,MITF,IKZF3,HEXA,KCNH2,RALB,KRT19,ADCY3,DICER1,FBXW8,PCYT1A,ATP2C1,STX1B,EPX,PRKCH,HK2,ARID3A,NCK1,TLE4,PPP2CA,TANK,ANGPT2,SLC25A25,SLC7A1,IL4,ENG,NFIA,KIF26A,CLEC12A,CITED2,KIF3B,IGF1R,NCSTN,SLC2A9,RPTOR,CTSB,SHANK2,PPT2	42	
Carbohydrate Metabolism	flux	Flux of carbohydrate	6.17E-04	 	 	 	 	PCYT1A,PGAM2,GPI	3	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of phagocytes	6.27E-04	 	 	 	 	IRF6,PRG2,SIGLEC8,ANGPT2,FOXP1,TFF2,IL4,METRNL,EPX,RNASE2,PRG3	11	
Cancer, Organismal Injury and Abnormalities	solid tumor	Solid tumor	6.49E-04	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,PPT2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,GPR176,KAT6B,BANK1,RNASE2,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,RFPL4B,CATSPER4,PRG3,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,PGAM2,FAM216B,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC,RNF122,SLC38A8	137	
Cell Death and Survival	apoptosis	Apoptosis	6.51E-04	 	 	 	 	DAPK2,SIGLEC8,YWHAQ,FOXP1,RHOBTB2,RBL2,NAPA,BNIP3L,EHF,MITF,IKZF3,MS4A2,KCNH2,RALB,LRIG1,DICER1,ATP2C1,STEAP3,PRKCH,PRKCZ,HK2,NCK1,TLE4,ST3GAL1,GPI,PMP22,PPP2CA,ITIH4,ANGPT2,DAP,DDIT4,IL4,IL5RA,ENG,CITED2,NR0B2,IGF1R,NCSTN,RPTOR,RPS6KA2,CTSB,CS,FOXK2,PPT2	44	
Cell Death and Survival	cell death	Cell death of connective tissue cells	6.92E-04	 	 	 	 	TANK,RBL2,BNIP3L,DDIT4,IL4,ENG,NR0B2,IGF1R,RALB,DICER1,RPS6KA2,CTSB,PRKCZ,NCK1,GPI	15	
Cardiovascular Disease, Cardiovascular System Development and Function, Cell Morphology, Hematological System Development and Function, Hematopoiesis, Tissue Morphology	abnormal morphology	Abnormal morphology of reticulocytes	7.22E-04	 	 	 	 	SLC7A1,STEAP3	2	
Cell Morphology	conversion	Conversion of chondrocytes	7.22E-04	 	 	 	 	SMARCD3,MITF	2	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	flux	Flux of D-glucose	7.22E-04	 	 	 	 	PGAM2,GPI	2	
Cell Cycle, DNA Replication, Recombination, and Repair	homologous pairing	Homologous pairing of DNA	7.22E-04	 	 	 	 	EVL,PSMC3IP	2	
Cancer, Organismal Injury and Abnormalities	malignant solid tumor	Malignant solid tumor	7.48E-04	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,GPR176,KAT6B,BANK1,RNASE2,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,RFPL4B,CATSPER4,PRG3,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,PGAM2,FAM216B,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC,RNF122,SLC38A8	136	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgM	7.51E-04	 	 	 	 	TANK,IL4,IL5RA,IKZF3,ARID3A,BANK1	6	
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of blood cells	7.59E-04	 	 	 	 	TANK,SIGLEC8,PTGDR2,SLC7A1,RBL2,BNIP3L,IL4,IL5RA,IKZF3,IRF6,IGF1R,RPTOR,DICER1,CTSB,STEAP3,PRKCH,ARID3A,BANK1,TLE4,ST3GAL1,PPT2,PPP2CA	22	
Cancer, Cellular Development, Organismal Injury and Abnormalities	immortalization	Immortalization of fibroblasts	7.84E-04	 	 	 	 	RBL2,PGAM2,ARID3A	3	
Cell Morphology	morphology	Morphology of cells	7.93E-04	 	 	 	 	ZFPM1,DAPK2,RBL2,BNIP3L,MITF,HEXA,IRF6,LPIN1,DICER1,ATP2C1,STEAP3,EGFLAM,STX1B,EPX,PRKCH,PRKCZ,HK2,ARID3A,NCK1,GPI,PMP22,PRG2,ANGPT2,COL15A1,SLC7A1,IL4,IL5RA,NFIA,PSMC3IP,KIF26A,CITED2,KIF3B,IGF1R,RPTOR,RPS6KA2,CTSB,SHANK2,PPT2	38	
Cellular Compromise, Inflammatory Response	degranulation	Degranulation of cells	7.98E-04	 	 	 	 	ZFPM1,PRG2,RALB,LPIN1,DICER1,IL4,EHF,MS4A2	8	
Cellular Movement	migration	Migration of cells	8.16E-04	 	 	 	 	DAPK2,SIGLEC8,FOXP1,RHOBTB2,EHF,MITF,KCNH2,PLGRKT,IRF6,PATJ,RALB,KRT19,ADCY3,DICER1,LRP12,PRKCZ,NCK1,GPI,PMP22,PTGDR2,ANGPT2,DDIT4,IL4,NISCH,ENG,NFIA,CITED2,IGF1R,RPTOR,ACP5,TFF2,CTSB,EVL,RNASE2,PPT2	35	
Organismal Survival	organismal death	Organismal death	8.58E-04	 	 	 	 	ZFPM1,DMAP1,RBL2,BNIP3L,VPS52,MITF,IKZF3,HEXA,KCNH2,RALB,KRT19,ADCY3,DICER1,FBXW8,PCYT1A,ATP2C1,STX1B,EPX,PRKCH,HK2,ARID3A,NCK1,TLE4,PPP2CA,TANK,ANGPT2,SLC25A25,SLC7A1,IL4,ENG,NFIA,KIF26A,CITED2,KIF3B,IGF1R,NCSTN,SLC2A9,RPTOR,CTSB,SHANK2,PPT2	41	
Inflammatory Response	inflammatory response	Inflammatory response	9.11E-04	 	 	 	 	PRG2,DAPK2,PTGDR2,ANGPT2,FOXP1,IL4,METRNL,ENG,PRG3,CLEC12A,MS4A2,IRF6,RALB,DICER1,TFF2,CTSB,EPX,RNASE2	18	
Cellular Growth and Proliferation	proliferation	Proliferation of bone marrow cell lines	9.17E-04	 	 	 	 	IGF1R,RALB,RBL2,IL4,PPP2CA	5	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	granulopoiesis	Granulopoiesis	9.18E-04	 	 	 	 	IGF1R,ZFPM1,RALB,SIGLEC8,IL4,CITED2	6	
Cancer, Organismal Injury and Abnormalities	nonhematologic malignant neoplasm	Nonhematologic malignant neoplasm	9.64E-04	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,GPR176,KAT6B,BANK1,RNASE2,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,RFPL4B,CATSPER4,PRG3,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,PGAM2,FAM216B,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,NCSTN,GID4,CTSB,MCC,FOXK2,IRGC,RNF122,SLC38A8	135	
Cell-To-Cell Signaling and Interaction, Inflammatory Response	inflammatory response	Inflammatory response of tumor cell lines	1.01E-03	 	 	 	 	CTSB,ENG	2	
Cellular Movement, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking	migration	Migration of basophils	1.01E-03	 	 	 	 	PTGDR2,ENG	2	
Cell Morphology, Endocrine System Development and Function, Organ Morphology, Organismal Development	morphology	Morphology of thyroid cells	1.01E-03	 	 	 	 	IGF1R,CTSB	2	
Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities	congenital malformation	Congenital malformation of brain	1.01E-03	 	 	 	 	RALB,KIF5C,ANGPT2,RPTOR,DICER1,ATP2C1,EMG1,NFIA,CITED2,KIF3B	10	
Cellular Movement	cell movement	Cell movement	1.01E-03	 	 	 	 	DAPK2,SIGLEC8,FOXP1,RHOBTB2,EHF,MITF,KCNH2,PLGRKT,IRF6,PATJ,RALB,TNIK,LRIG1,KRT19,ADCY3,DICER1,LRP12,PRKCZ,NCK1,GPI,PMP22,PTGDR2,ANGPT2,DDIT4,IL4,NISCH,ENG,NFIA,CATSPER4,CITED2,IGF1R,RPTOR,ACP5,TFF2,CTSB,EVL,RNASE2,PPT2	38	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking, Inflammatory Response	activation	Activation of eosinophils	1.09E-03	 	 	 	 	PTGDR2,IL4,IL5RA	3	
Cell Morphology, Hair and Skin Development and Function	transepithelial electrical resistance	Transepithelial electrical resistance of cells	1.09E-03	 	 	 	 	IL4,PRKCZ,PPP2CA	3	
Cancer, Organismal Injury and Abnormalities	abdominal cancer	Abdominal cancer	1.11E-03	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,IGF1R,PRR35,ACP5,TFF2,TMEM131,SMARCD3,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,CYB561,MS4A2,KRT19,MED27,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,VKORC1L1,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RNASE2,RBL2,BNIP3L,EHF,OSBPL3,GDF5OS,IRF6,TRAPPC9,LPIN1,RALB,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,ELOVL7,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,CATSPER4,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,YWHAQ,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,GID4,CTSB,MCC,FOXK2,IRGC	126	
Cell Cycle	cell cycle progression	Arrest in cell cycle progression	1.14E-03	 	 	 	 	IGF1R,IRF6,KRT19,RPTOR,RBL2,DDIT4,EHF,PRKCH,PGAM2,MITF	10	
Cell Morphology, Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	morphogenesis	Morphogenesis of neurons	1.20E-03	 	 	 	 	CSRP1,NFIA,HEXA,KIF3B,IGF1R,RALB,TNIK,ADCY3,DICER1,FBXW8,SHANK2,LRP12,PRKCZ,PMP22,PPP2CA	15	
Cancer, Organismal Injury and Abnormalities	metastasis	Metastasis of colorectal cancer cell lines	1.20E-03	 	 	 	 	IGF1R,DICER1,RPTOR	3	
Cell Death and Survival	cell death	Cell death of blood cells	1.24E-03	 	 	 	 	DAPK2,SIGLEC8,FOXP1,BNIP3L,DDIT4,IL4,IL5RA,IKZF3,MS4A2,LRIG1,RPTOR,DICER1,CTSB,PRKCZ,TLE4,ST3GAL1	16	
Tissue Development	growth	Growth of epithelial tissue	1.25E-03	 	 	 	 	ITIH4,ANGPT2,RBL2,IL4,ENG,CITED2,IRF6,IGF1R,NCSTN,LRIG1,RPTOR,DICER1,CTSB,MCC,PRKCH,PRKCZ	16	
Tissue Morphology	quantity	Quantity of cells	1.38E-03	 	 	 	 	SIGLEC8,RBL2,BNIP3L,MITF,IKZF3,IRF6,KRT19,DICER1,ATP2C1,STEAP3,STX1B,PRKCH,ARID3A,TLE4,ST3GAL1,PPP2CA,TANK,PTGDR2,KIF5C,ANGPT2,SLC7A1,IL4,IL5RA,ENG,NFIA,CITED2,IGF1R,RPTOR,TFF2,CTSB,BANK1,PPT2	32	
Embryonic Development, Organismal Development, Tissue Morphology	size	Size of embryo	1.44E-03	 	 	 	 	ZFPM1,IGF1R,NCSTN,DICER1,RBL2,ATP2C1,ENG,CITED2,KIF3B,PPP2CA	10	
Cardiovascular Disease, Developmental Disorder, Organismal Injury and Abnormalities	failure of heart looping	Failure of heart looping	1.45E-03	 	 	 	 	NCSTN,RBL2,ENG	3	
Cell Morphology, Hematological System Development and Function	morphology	Morphology of granulocytes	1.45E-03	 	 	 	 	PRG2,IL4,EPX	3	
Cancer, Organismal Injury and Abnormalities	precancerous condition	Precancerous condition	1.48E-03	 	 	 	 	IL4,ENG,PRKCH,ASCC1,PRKCZ	5	
Cellular Development, Cellular Growth and Proliferation	cell proliferation	Cell proliferation of tumor cell lines	1.49E-03	 	 	 	 	DAPK2,YWHAQ,DMAP1,FOXP1,RHOBTB2,RBL2,EHF,MITF,IRF6,RALB,TNIK,LRIG1,KRT19,FBXW8,STEAP3,PRKCH,PRKCZ,HK2,ARID3A,TLE4,PPP2CA,ELOVL7,ANGPT2,IL4,ENG,IGF1R,NCSTN,RPTOR,TFF2,CTSB	30	
Cell-To-Cell Signaling and Interaction, Inflammatory Response	immune response	Immune response of tumor cell lines	1.50E-03	 	 	 	 	RALB,DICER1,FOXP1,CTSB,IL4,ENG	6	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function	myelination	Myelination of cells	1.65E-03	 	 	 	 	SERINC5,DICER1,DDIT4,HEXA,PMP22	5	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	growth	Growth of pancreatic endocrine tumor	1.71E-03	 	 	 	 	CTSB,ENG	2	
Cardiovascular System Development and Function, Organismal Development, Skeletal and Muscular System Development and Function	muscularization	Muscularization of artery	1.71E-03	 	 	 	 	RPTOR,IL4	2	
Cell Death and Survival	cell death	Cell death of immune cells	1.76E-03	 	 	 	 	DAPK2,SIGLEC8,FOXP1,DDIT4,IL4,IL5RA,IKZF3,MS4A2,LRIG1,RPTOR,DICER1,CTSB,PRKCZ,TLE4,ST3GAL1	15	
Cell Death and Survival	apoptosis	Apoptosis of hepatoma cell lines	1.78E-03	 	 	 	 	IGF1R,CTSB,IL4,PRKCZ,PPP2CA,NR0B2	6	
